ingresos_totales,gastos_personal,liquidez,dias_efectivo,cfo,participacion_ley30,participacion_regalias,participacion_servicios,participacion_matriculas,hhi_fuentes,endeudamiento,tendencia_ingresos,gp_ratio,unidad_ciencias económicas,unidad_derecho,unidad_educación,unidad_facultad de ingeniería,unidad_institutos,unidad_medicina,unidad_nivel central,unidad_sedes y seccionales,cluster_kmeans_k2,cluster_kmeans_bestk,cluster_dbscan
184908925565.2797,78204055230.45029,1.8052943056192088,93.5744253904058,4134823981.829304,0.3641489249025996,0.0298741057216381,0.1910699874015732,0.246057461483886,0.2590590767077234,0.3456869896915058,0.0321727706847118,0.4456892042322899,0,0,0,1,0,0,0,0,0,2,-1
166353159058.12463,89905141605.03621,1.7188302992282547,74.76548533220137,4558966627.773841,0.3232824362190741,0.1041186016545091,0.3293393044486893,0.2201621559151551,0.2728214637178576,0.4429894860716994,0.0300460959734695,0.5404474559669943,0,0,0,1,0,0,0,0,0,2,-1
162984532328.04852,81819035583.14615,1.323888653539236,98.43431030597569,-4283582291.042362,0.2969122552070157,0.054887612589388,0.0921799183870833,0.1091386758196061,0.2979867215179349,0.3883606344057358,-0.0430214165487475,0.5020049106160833,0,0,0,1,0,0,0,0,0,2,-1
152736632689.66312,84236771007.45686,1.8831732052571133,70.61722682490331,18277718039.49787,0.3636902931202528,0.066771781019996,0.219408475276059,0.275694610637509,0.2664172428058243,0.4702988804749877,-0.0249395879145183,0.5515164864123512,0,0,0,1,0,0,0,0,0,2,-1
172868788412.39478,98845423596.11948,1.0004271498652284,92.13108454441632,13292013158.99182,0.4177443090990554,0.0899128827406693,0.2734696334852868,0.1490916514301123,0.2844780562184949,0.4211417595605494,0.0241304447417068,0.5717945067117287,0,0,0,1,0,0,0,0,0,2,-1
170917957588.87988,100258608118.94786,1.315355978287264,80.97222789212236,8913080223.272886,0.283442250787836,0.0832440809819905,0.1651398476758482,0.0950759859983023,0.2627816931045558,0.3677307169518314,0.0858142968511971,0.586589083635708,0,0,0,1,0,0,0,0,0,2,-1
168466708271.0406,93764804459.5067,0.9898916466782232,118.08469064075364,11326319716.957417,0.2657048799436566,0.0453507602655908,0.1593738434452415,0.2634845343835274,0.2382816463130257,0.4960164434037306,0.0236822082261488,0.5565776492091931,0,0,0,1,0,0,0,0,0,2,-1
171339712261.73602,112901246195.93803,1.2783748458121014,55.5027045055618,8566619224.657822,0.2960411782713723,0.0728410937854366,0.1211056034239775,0.2084905854188207,0.2419963341065992,0.4060299214854815,-0.0197345342822716,0.624604571777815,0,0,0,1,0,0,0,0,0,2,-1
168213524094.487,91962499983.26688,0.8415233763553811,104.18975036425134,7863329552.152785,0.33506244947837,0.0802547810791274,0.2339370428048,0.1251620611962156,0.2399877466096606,0.5316409088781471,0.1215468155287737,0.5467009889859435,0,0,0,1,0,0,0,0,0,2,-1
186669848767.06537,97254669294.58565,1.4858805119463838,145.04553453162595,11239676542.986418,0.3299870072432586,0.069486945957436,0.1918038034236763,0.1401071412489639,0.2422926437351181,0.3554850232480702,0.0754589969486714,0.5209982754951722,0,0,0,1,0,0,0,0,0,2,-1
112796893471.00256,57697505446.5357,1.7686718409687652,102.05680225320756,6299227711.793105,0.3565107477078985,0.085345972901087,0.2366382488627058,0.2022619481964017,0.2455103175187036,0.4165016716161784,0.0178917572906259,0.511516795108975,1,0,0,0,0,0,0,0,1,1,-1
100420775869.84166,58253117931.75008,1.3547337990799495,116.2372382246916,-4283582291.042362,0.294017246453908,0.0633588459080333,0.2476928083001605,0.158773017609055,0.2327917225372883,0.372545922053905,-0.0473093545004245,0.5800902993146922,1,0,0,0,0,0,0,0,1,1,-1
111713700402.77003,55897899296.51482,1.5035612413191564,90.06054403857645,8826307762.798704,0.3228895638219909,0.0545120685295529,0.1675504161340756,0.1769951764810467,0.2467206391090731,0.3938325794620841,0.0739092564777927,0.5003674490683041,1,0,0,0,0,0,0,0,1,1,-1
131159852515.41852,67290668277.58712,1.3439816469459775,108.69175553378396,9320575183.076912,0.4047676464878477,0.0528212814751547,0.1925678935906901,0.0777178158372856,0.2838016009355539,0.3137553835132573,0.0250202916869347,0.5130431834671112,1,0,0,0,0,0,0,0,1,1,-1
